Title,Description,URL,Request form,Access note,Subject categories,Data/resource types,Access model,Topic,Provider,Image
Business Insider,"Digital news platform featuring reporting on business, technology, finance, careers, and global affairs. Useful for tracking companies, industries, labor markets, and emerging business trends.",https://library.yale.edu/eresources/access/access-business-insider,,Requires users to register for an account with a Yale email address.,Business & Economics; Social Sciences; News & Media,Company & Organization Data; Financial & Market Data; News & Current Events,External platform,"Company & Organization Data, Financial & Market Data, News & Current Events",,../Images/Datasets/business-insider.png
Business of Fashion Professional,"Industry intelligence platform covering global fashion markets, companies, retail strategy, and consumer trends. Supports research on fashion business, luxury markets, and brand strategy.",https://library.yale.edu/eresources/access/access-business-fashion?_ga=2.228768796.1813429910.1685970342-141142974.1682704224,,Requires users to register for an account with a Yale email address. The campus subscription does not include access to BoF Insights reports.,Business & Economics,Company & Organization Data; Market Research; Data Platform,External platform,"Company & Organization Data, Market Research, Data Platform",,../Images/Datasets/business-of-fashion-professional.png
Business Source Ultimate,"Comprehensive business database providing scholarly journals, trade publications, industry reports, SWOT analyses, case studies, and company profiles. Supports research across business disciplines.",https://yale.idm.oclc.org/login?URL=https://research-ebsco-com.yale.idm.oclc.org/c/bygvhg/topics,,,Business & Economics; Scholarly Literature,Company & Organization Data; Scholarly Indexes & Literature; Trade & Supply Chain Data,External platform,"Company & Organization Data, Scholarly Indexes & Literature, Trade & Supply Chain Data",EBSCO,../Images/Datasets/business-source-ultimate.png
Caixin Global,"English-language news source covering Chinese business, finance, economics, politics, and public policy. Useful for research on China's economy, markets, and regulatory environment.",https://web.library.yale.edu/access-caixin-global,,Requires users to register for an individual account with a Yale email address for access.,Energy & Environment; Business & Economics; Government & Public Policy,Financial & Market Data; News & Current Events,External platform,"Financial & Market Data, News & Current Events",,../Images/Datasets/caixin-global.png
Calcbench,"Financial statement database built from SEC XBRL filings of public companies. Supports accounting, auditing, financial analysis, and corporate reporting research.",https://web.library.yale.edu/access-calcbench,,Requires users to register for an individual account with a Yale email address for access.,Business & Economics,Company & Organization Data; Financial & Market Data; News & Current Events,External platform,"Company & Organization Data, Financial & Market Data, News & Current Events",,../Images/Datasets/calcbench.png
Capital IQ,"Financial intelligence platform providing company financials, transactions, ownership data, market information, and professional profiles worldwide. Widely used for business, investment, and economic research.","https://library.yale.edu/eresources/access/access-capital-iq, https://guides.library.yale.edu/capiq",,Requires registering an individual account with a Yale email address. Individuals who do not want to create an individual account can use S&P NetAdvantage for similar functionality.,Business & Economics,Company & Organization Data; Financial & Market Data; Data Platform,External platform,"Company & Organization Data, Financial & Market Data, Data Platform",S&P,../Images/Datasets/capital-iq.png
Carbon Pulse,"News and intelligence platform covering carbon markets, emissions trading, greenhouse gas pricing, climate policy, and sustainability initiatives. Supports environmental economics and climate governance research.",https://library.yale.edu/eresources/access/access-carbon-pulse,,Requires users to register for an individual account with a Yale email address for access.,Energy & Environment; Business & Economics; Government & Public Policy,News & Current Events; ESG & Sustainability Data; Data Platform,External platform,"News & Current Events, ESG & Sustainability Data, Data Platform",,../Images/Datasets/carbon-pulse.png
CB Insights,"Database tracking startups, investors, venture capital activity, funding rounds, acquisitions, and emerging industries. Useful for entrepreneurship, innovation, and technology market research.",https://library.yale.edu/eresources/access/access-cb-insights,,Requires users to register for an account using a Yale email address. Note: Expert Intelligence reports are not available with academic or university accounts.,Business & Economics; Technology & Innovation,Financial & Market Data; Market Research; Data Platform,External platform,"Financial & Market Data, Market Research, Data Platform",,../Images/Datasets/cb-insights.png
CDP Climate Data,"Company-reported environmental and climate disclosure data covering emissions, sustainability practices, and supply-chain activity. Supports ESG, climate risk, and corporate sustainability research.",https://library.yale.edu/eresources/access/access-carbon-disclosure-project-public-climate-change-data?_ga=2.105318723.1326972826.1556550690-1266232307.1547737145,,,Energy & Environment; Business & Economics,Company & Organization Data; ESG & Sustainability Data,External platform,"Company & Organization Data, ESG & Sustainability Data",,../Images/Datasets/cdp-climate-data.png
CEIC Data,"Global economic and financial database containing macroeconomic, sector, regional, and alternative data from official and commercial sources. Supports comparative economic and policy research.",https://library.yale.edu/eresources/access/access-ceic-data,,,Business & Economics; Government & Public Policy,Financial & Market Data; Data Platform,External platform,"Financial & Market Data, Data Platform",,../Images/Datasets/ceic-data.png
Centralbanking.com,"Information resource focused on central banking, monetary policy, financial stability, banking regulation, and financial technologies. Useful for research on economic policy and financial systems.",https://yale.idm.oclc.org/login?URL=https://www.centralbanking.com/,,,Business & Economics; Government & Public Policy,Financial & Market Data,External platform,Financial & Market Data,,../Images/Datasets/centralbanking-com.png
Conference Board,"Source for economic indicators, business research, and management intelligence. Supports research on economic conditions, consumer confidence, workforce trends, and organizational performance.",https://library.yale.edu/eresources/access/access-conference-board,,Off-campus users must be logged in to Yale’s VPN OR must create an account with their @yale.edu email address.,Business & Economics; Social Sciences,Company & Organization Data; Market Research; Government & International Statistics,External platform,"Company & Organization Data, Market Research, Government & International Statistics",,../Images/Datasets/conference-board.png
CoreLogic,"Property, mortgage, deed, tax, and real estate market database covering U.S. housing markets. Supports research in housing, urban economics, finance, and real estate.",https://search.library.yale.edu/catalog/99149180943408651,https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUMVJTT1BXNDdHVVAyREk5N09BWVdCVFE5RiQlQCN0PWcu&route=shorturl,,Business & Economics; GIS & Spatial Data,Financial & Market Data; Survey & Polling Data; Real Estate & Property Data,Locally hosted at Yale,"Financial & Market Data, Survey & Polling Data, Real Estate & Property Data",,../Images/Datasets/corelogic.png
Crunchbase,"Database of private and public companies, investors, funding rounds, acquisitions, and startup activity. Supports research on entrepreneurship, innovation ecosystems, and venture capital.",https://search.library.yale.edu/catalog/99159676243408651,https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUQTVRTE40N1kwVk5FTzJTNjJOVzRPWU5IUCQlQCN0PWcu&route=shorturl,Data is available by request. Use the access link in the Quicksearch record to get started.,Business & Economics; Technology & Innovation,Company & Organization Data; Financial & Market Data; Data Platform,Locally hosted at Yale,"Company & Organization Data, Financial & Market Data, Data Platform",,../Images/Datasets/crunchbase.png
Data Axle,"Business directory containing current and historical information on millions of U.S. and Canadian companies. Useful for business demographics, market analysis, and geographic research.",https://library.yale.edu/eresources/access/access-data-axle-reference-solutions,,,Business & Economics; Social Sciences; GIS & Spatial Data,Company & Organization Data; News & Current Events; Geospatial & Mapping Data,External platform,"Company & Organization Data, News & Current Events, Geospatial & Mapping Data",,../Images/Datasets/data-axle.png
Data Explr,"Historical database of U.S. private companies with information on sales, employment, industry classification, location, and ownership. Supports longitudinal business and economic research.",http://hdl.handle.net/10079/yuldb/yuldb2852,,Data for 1981 and 1984 are not available. An individual Data Exlpr account is required to access this data.,Business & Economics; GIS & Spatial Data; Humanities & History,Company & Organization Data; Geospatial & Mapping Data; Historical Archives,External platform,"Company & Organization Data, Geospatial & Mapping Data, Historical Archives",,../Images/Datasets/data-explr.png
Datacenter Knowledgebase (451 Research),"Global database of data center facilities, infrastructure, capacity, utilization, and market activity. Useful for research on cloud computing, digital infrastructure, and technology markets.",,https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUQTFTSEtMRk84SVJTSUVBT0RDSzZSWkQ0WSQlQCN0PWcu&route=shorturl,Requires users to request an individual account with a Yale email address.,Business & Economics; Technology & Innovation,Data Platform,Locally hosted at Yale,Data Platform,,../Images/Datasets/datacenter-knowledgebase-451-research.png
Datastream,"Historical financial database containing securities prices, economic indicators, commodities, bonds, and market data. Supports quantitative finance, investment analysis, and economic research.",https://guides.library.yale.edu/Workspace/Datastream,https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVURDdNSUpFT0JDMEw2WlNCOEQ4NE1KSklNUyQlQCN0PWcu&route=shorturl,,Business & Economics; Humanities & History,Financial & Market Data; Government & International Statistics; Historical Archives,Locally hosted at Yale,"Financial & Market Data, Government & International Statistics, Historical Archives",LSEG,../Images/Datasets/datastream.png
Dewey Data,"Platform providing access to licensed third-party research datasets across healthcare, workforce, consumer behavior, transportation, and other domains. Useful for discovering specialized datasets.",https://www.deweydata.io/,,"Click ""Sign in"" and enter your yale.edu email address.",Health & Medicine; Social Sciences,Market Research; Health & Biomedical Data; Workforce & Career Data,External platform,"Market Research, Health & Biomedical Data, Workforce & Career Data",,../Images/Datasets/dewey-data.png
eCommerceDB,"Global e-commerce database covering online retailers, revenue, market development, competitors, traffic, and digital commerce indicators. Supports retail, consumer behavior, and digital economy research.",https://library.yale.edu/eresources/access/access-ecommercedb,,Also accessible via Statista.,Business & Economics; Technology & Innovation,Market Research; Government & International Statistics; Data Platform,External platform,"Market Research, Government & International Statistics, Data Platform",,../Images/Datasets/ecommercedb.png
EconLit,"Comprehensive index of economics literature including journal articles, books, working papers, dissertations, conference proceedings, and reviews. Supports scholarly research in economics and related fields.",https://yale.idm.oclc.org/login?URL=http://search.proquest.com/econlit?accountid=15172,,,Business & Economics; Humanities & History; Scholarly Literature,Scholarly Indexes & Literature,External platform,Scholarly Indexes & Literature,ProQuest,../Images/Datasets/econlit.png
EIU Viewpoint,"Political and economic intelligence platform providing country analysis, forecasts, policy insights, and risk assessments. Useful for international business, public policy, and global market research.",https://viewpoint-eiu-com.yale.idm.oclc.org/,,,Business & Economics; Government & Public Policy,Market Research; Government & International Statistics; Data Platform,External platform,"Market Research, Government & International Statistics, Data Platform",,../Images/Datasets/eiu-viewpoint.png
eMarketer,"Market data and analysis platform focused on digital advertising, social media, e-commerce, retail, and consumer technology. Supports research on digital markets and media trends.",http://hdl.handle.net/10079/yuldb/yuldb1980,,,Business & Economics; Social Sciences; News & Media,Financial & Market Data; Market Research; Data Platform,External platform,"Financial & Market Data, Market Research, Data Platform",,../Images/Datasets/emarketer.png
EMIS,"Market intelligence platform providing company, industry, country, and news data for emerging and established markets. Supports global business, market, and economic research.",https://library.yale.edu/eresources/access/access-emis,,"If you are prompted to login, select the Guest Access option.",Business & Economics; News & Media,Company & Organization Data; News & Current Events; Government & International Statistics,External platform,"Company & Organization Data, News & Current Events, Government & International Statistics",,../Images/Datasets/emis.png
Esri Business Analyst,"Web-based GIS and market analysis platform with demographic, consumer, employment, and location data. Supports spatial analysis, site selection, and market research.",https://guides.library.yale.edu/onlinemapping/BA,,"Requires an individual account. For more information and to request an account, visit: Online Mapping Resources: Esri Business Analyst Web Apps.",Business & Economics; Social Sciences; GIS & Spatial Data,Market Research; Geospatial & Mapping Data; Workforce & Career Data,External platform,"Market Research, Geospatial & Mapping Data, Workforce & Career Data",Esri,../Images/Datasets/esri-business-analyst.png
Factiva,"Global news database with current and archival coverage from newspapers, magazines, newswires, and business sources. Supports news, company, industry, and policy research.",https://yale.idm.oclc.org/login?URL=http://hdl.handle.net/10079/yuldb/yuldb493,,"Per our license agreement, Factiva may not be used for text mining projects.",Business & Economics; Government & Public Policy; News & Media,Company & Organization Data; News & Current Events; Real Estate & Property Data,External platform,"Company & Organization Data, News & Current Events, Real Estate & Property Data",EBSCO,../Images/Datasets/factiva.png
FactSet,"Financial data and analytics platform covering global companies, markets, securities, estimates, and economic data. Supports investment research, financial modeling, and market analysis.",http://guides.library.yale.edu/factset,,Access to FactSet is made possible by Yale School of Management. FactSet Workstation is available for Faculty & PhD Students.,Business & Economics,Company & Organization Data; Financial & Market Data; Data Platform,Workstation access,"Company & Organization Data, Financial & Market Data, Data Platform",FactSet,../Images/Datasets/factset.png
Finaeon,"Historical financial and economic time-series database covering countries, markets, exchange rates, interest rates, commodities, inflation, and securities. Supports long-run financial and economic research.",http://web.library.yale.edu/access-global-financial-data,,,Business & Economics; Humanities & History,Financial & Market Data; Historical Archives; Data Platform,External platform,"Financial & Market Data, Historical Archives, Data Platform",United Nations,../Images/Datasets/finaeon.png
Financial Times,"Digital news source covering global business, finance, economics, politics, and markets. Useful for current awareness and research on international business and economic issues.",https://yale.idm.oclc.org/login?URL=https://library.yale.edu/eresources/access/access-financial-times,,,Business & Economics; Government & Public Policy; News & Media,Financial & Market Data; News & Current Events; Government & International Statistics,External platform,"Financial & Market Data, News & Current Events, Government & International Statistics",,../Images/Datasets/financial-times.png
Foundation Directory Online Professional,"Database of U.S. foundations, grantmakers, corporate giving programs, public charities, grants, and IRS filings. Supports philanthropy, nonprofit, and funding research.",https://yale.idm.oclc.org/login?URL=http://hdl.handle.net/10079/yuldb/yuldb515,,,Social Sciences,Company & Organization Data; Data Platform,External platform,"Company & Organization Data, Data Platform",,../Images/Datasets/foundation-directory-online-professional.png
Frost and Sullivan,"Market research platform covering technology, healthcare, transportation, defense, chemicals, electronics, communications, and other industries. Useful for industry analysis and market forecasting.",https://member.frost.com/login,,,Health & Medicine; Business & Economics; Technology & Innovation,Market Research; Health & Biomedical Data; Data Platform,External platform,"Market Research, Health & Biomedical Data, Data Platform",,../Images/Datasets/frost-and-sullivan.png
Gale Business Insights,"Business information platform providing company profiles, SWOT analyses, industry coverage, market share data, histories, chronologies, and articles. Supports company and industry research.",https://yale.idm.oclc.org/login?URL=http://infotrac.galegroup.com/itweb/29002?db=BIG,,,Business & Economics,Company & Organization Data; Market Research; Data Platform,External platform,"Company & Organization Data, Market Research, Data Platform",Gale,../Images/Datasets/gale-business-insights.png
Gallup Analytics,"Polling and survey data platform covering U.S. and global public opinion. Supports research on attitudes, behavior, social trends, and cross-national comparisons.",https://yale.idm.oclc.org/login?URL=https://library.yale.edu/eresources/access/access-gallup-analytics,Yale subscribes to individual response data contact researchdata@yale.edu for access.,,Social Sciences,Survey & Polling Data; Data Platform,External platform,"Survey & Polling Data, Data Platform",,../Images/Datasets/gallup-analytics.png
Gartner,"Information technology research platform providing reports, analysis, and trends on IT markets, vendors, and strategy. Supports technology management and digital transformation research.",http://business.yale.edu/gartner/go,,,Business & Economics; Technology & Innovation,Data Platform,External platform,Data Platform,,../Images/Datasets/gartner.png
Global Development Finance,"World Bank dataset on financial flows, external debt, and financial indicators for developing countries. Supports research on development finance and international economic conditions.",http://data.worldbank.org/data-catalog/global-financial-development,,,Business & Economics,Financial & Market Data; Government & International Statistics,Open access,"Financial & Market Data, Government & International Statistics",World Bank,../Images/Datasets/global-development-finance.png
GlobalData Medical and Pharmaceutical Intelligence Centers,"Market research platform covering medical device and pharmaceutical industries. Supports research on healthcare markets, drug development, competitive intelligence, and industry trends.",https://library.yale.edu/eresources/access/access-globaldata,,,Health & Medicine; Business & Economics,Market Research; Government & International Statistics; Health & Biomedical Data,External platform,"Market Research, Government & International Statistics, Health & Biomedical Data",,../Images/Datasets/globaldata-medical-and-pharmaceutical-intelligence-centers.png
GoinGlobal,"Career and employment information platform with country guides, job search resources, visa information, salary data, and workplace advice. Supports global career and labor market research.",https://yale.idm.oclc.org/login?url=http://online.goinglobal.com/default.aspx,,,Business & Economics; Social Sciences,Market Research; Government & International Statistics; Workforce & Career Data,External platform,"Market Research, Government & International Statistics, Workforce & Career Data",,../Images/Datasets/goinglobal.png
GuideStar Pro,"Nonprofit organization database with information on programs, finances, leadership, and IRS filings. Useful for nonprofit, philanthropy, civic sector, and organizational research.",https://library.yale.edu/eresources/access/access-guidestar,,"For assistance with downloading lists with more than 1000 results, please contact business.reference@yale.edu.",Business & Economics; Social Sciences,Company & Organization Data; Financial & Market Data; Data Platform,External platform,"Company & Organization Data, Financial & Market Data, Data Platform",,../Images/Datasets/guidestar-pro.png
Handbooks in Economics,"Full-text collection of scholarly handbooks in economics, finance, econometrics, and related fields. Supports literature review and advanced disciplinary research.",https://www.sciencedirect.com/browse/journals-and-books?subject=economics-econometrics-and-finance,,,Business & Economics; Humanities & History; Scholarly Literature,Financial & Market Data; Scholarly Indexes & Literature,External platform,"Financial & Market Data, Scholarly Indexes & Literature",Elsevier,../Images/Datasets/handbooks-in-economics.png
Harvard Business Publishing eBooks Collection,"Ebook collection covering management, leadership, entrepreneurship, strategy, human resources, and related business topics. Useful for teaching, professional development, and business research.","https://yale.idm.oclc.org/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5164239&groupid=main&profile=ehost&defaultdb=e076mww",,,Business & Economics,Company & Organization Data; Government & International Statistics; Scholarly Indexes & Literature,External platform,"Company & Organization Data, Government & International Statistics, Scholarly Indexes & Literature",EBSCO,../Images/Datasets/harvard-business-publishing-ebooks-collection.png
IBISWorld,"Industry research platform with reports on market size, trends, performance, risks, major companies, and forecasts. Supports industry analysis, business planning, and market research.",https://library.yale.edu/eresources/access/access-ibisworld,,"Due to licensing restrictions with IBISWorld, users are limited to fewer than 50 downloads per session. Exceeding this limit may result in a university-wide loss of access to this resource.",Business & Economics,Company & Organization Data; Market Research; Data Platform,External platform,"Company & Organization Data, Market Research, Data Platform",,../Images/Datasets/ibisworld.png
IEA Statistics Package,"Energy statistics resource from the International Energy Agency. Supports research on energy production, consumption, trade, prices, and energy policy across countries.",https://guides.library.yale.edu/iea,,,Energy & Environment; Government & Public Policy,Financial & Market Data; Market Research; Government & International Statistics,External platform,"Financial & Market Data, Market Research, Government & International Statistics",,../Images/Datasets/iea-statistics-package.png
ImpactAlpha,"News and analysis source covering impact investing, sustainable finance, social enterprise, and market-based approaches to social change. Supports ESG and social impact research.",https://library.yale.edu/eresources/access/access-impactalpha,,Requires users to register for an individual account with a Yale email address.,Energy & Environment; Business & Economics; Social Sciences,Financial & Market Data; News & Current Events; ESG & Sustainability Data,External platform,"Financial & Market Data, News & Current Events, ESG & Sustainability Data",,../Images/Datasets/impactalpha.png
Indiastat,"Statistical database providing India-specific socioeconomic, industry, demographic, and government data. Supports regional, policy, development, and market research on India.",https://library.yale.edu/eresources/access/access-indiastat,,,Business & Economics; Government & Public Policy; Social Sciences,Market Research; Government & International Statistics; Data Platform,External platform,"Market Research, Government & International Statistics, Data Platform",,../Images/Datasets/indiastat.png
Inside Philanthropy,"News and information platform covering foundations, major donors, grantmaking, philanthropy jobs, and funding opportunities. Supports research on philanthropy and nonprofit funding.",https://library.yale.edu/eresources/access/access-inside-philanthropy,,Requires users to register for an individual account.,Social Sciences; News & Media,Company & Organization Data; News & Current Events; Workforce & Career Data,External platform,"Company & Organization Data, News & Current Events, Workforce & Career Data",,../Images/Datasets/inside-philanthropy.png
International Financial Statistics - IMF,"IMF statistical database covering international and domestic finance, monetary indicators, exchange rates, prices, production, and national accounts. Supports macroeconomic and international finance research.",http://data.imf.org/IFS,,,Business & Economics; Government & Public Policy,Financial & Market Data; Market Research; Government & International Statistics,Open access,"Financial & Market Data, Market Research, Government & International Statistics",IMF,../Images/Datasets/international-financial-statistics-imf.png
JSTOR,"Digital archive of scholarly journals, books, and primary sources across many disciplines. Supports literature reviews and historical research in business and related fields.",http://hdl.handle.net/10079/yuldb/yuldb1517,,,Business & Economics; Humanities & History; Scholarly Literature,Scholarly Indexes & Literature; Historical Archives,External platform,"Scholarly Indexes & Literature, Historical Archives",JSTOR,../Images/Datasets/jstor.png
Kanopy,"Streaming video platform offering educational films and documentaries across a range of subject areas. Useful for teaching, course support, and media-based research.",https://search.library.yale.edu/catalog/12778063,,,News & Media,Data Platform,External platform,Data Platform,,../Images/Datasets/kanopy.png
Leadership Connect,"Directory of leaders and organizations in business, government, and nonprofit sectors in the United States. Useful for contact research and organizational mapping.",https://library.yale.edu/eresources/access/access-leadership-connect,,Requires users to sign in with an @Yale.edu email address. Users will be directed to the Yale CAS sign-in page. Note: The export function is not available with our subscription.,Business & Economics; Government & Public Policy; Social Sciences,Company & Organization Data; Geospatial & Mapping Data,External platform,"Company & Organization Data, Geospatial & Mapping Data",,../Images/Datasets/leadership-connect.png
LSEG,"Financial markets platform providing company financials, filings, estimates, transactions, market data, and analyst research. Supports investment, corporate finance, and market research.",https://guides.library.yale.edu/Workspace/,,Requires users to register for an individual account.,Business & Economics,Company & Organization Data; Financial & Market Data; Market Research,External platform,"Company & Organization Data, Financial & Market Data, Market Research",LSEG,../Images/Datasets/lseg.png
LSEG Tick History,"Historical intraday market data source with time-and-sales, quotes, and market-depth data for futures. Supports high-frequency finance and market microstructure research.",https://guides.library.yale.edu/LSEG_Tick_History,,email to request access: business.reference@yale.edu,Business & Economics; Humanities & History,Financial & Market Data; Historical Archives,External platform,"Financial & Market Data, Historical Archives",LSEG,../Images/Datasets/lseg-tick-history.png
Making of the Modern World,"Digital archive of economic and business literature published from 1450 through 1850. Supports historical research on commerce, political economy, and social thought.",http://hdl.handle.net/10079/yuldb/yuldb859,,,Business & Economics; Government & Public Policy; Social Sciences,Scholarly Indexes & Literature; Historical Archives,External platform,"Scholarly Indexes & Literature, Historical Archives",,../Images/Datasets/making-of-the-modern-world.png
"Market Research & American Business, 1935-1965","Digital archive of market research reports and consumer studies from mid-twentieth-century American business. Supports research on advertising, consumer culture, and business history.",https://yale.idm.oclc.org/login?URL=http://www.consumerculture.amdigital.co.uk/,,,Business & Economics; News & Media; Humanities & History,Market Research; Historical Archives,External platform,"Market Research, Historical Archives",,../Images/Datasets/market-research-american-business-1935-1965.png
MarketResearch.com Academic,"Market research platform providing reports on consumer, demographic, lifestyle, industrial, and product markets. Supports industry analysis, market sizing, and consumer research.",https://yale.idm.oclc.org/login?url=https://www.marketresearch.com/academic/,,,Business & Economics; Social Sciences,Market Research; Data Platform,External platform,"Market Research, Data Platform",,../Images/Datasets/marketresearch-com-academic.png
Media Radar 360,"Advertising intelligence platform covering advertising expenditures across television, radio, magazines, newspapers, and other media. Supports media planning and advertising market research.",https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?url=https://edu.app.vivvix.com,,,Business & Economics; News & Media,Market Research; News & Current Events; Data Platform,External platform,"Market Research, News & Current Events, Data Platform",,../Images/Datasets/media-radar-360.png
Mergent Archives,"Historical corporate document archive including corporate manuals, municipal manuals, and annual reports. Supports company history, financial history, and archival business research.",https://yale.idm.oclc.org/login?url=https://www.mergentarchives.com/search.php,,,Business & Economics; Humanities & History,Company & Organization Data; Financial & Market Data; Historical Archives,External platform,"Company & Organization Data, Financial & Market Data, Historical Archives",,../Images/Datasets/mergent-archives.png
Mergent Intellect,"Global business directory with public and private company data, executive contacts, and industry research from D&B Hoovers. Supports company and market research.",https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?URL=https://www.mergentintellect.com,,,Business & Economics,Company & Organization Data; Market Research,External platform,"Company & Organization Data, Market Research",,../Images/Datasets/mergent-intellect.png
Mergent Municipal Bond Database,"Dataset of municipal bond attributes with historical coverage dating back several decades. Supports fixed income, public finance, and municipal market research.",http://search.library.yale.edu/catalog/14077868,,,Business & Economics; Government & Public Policy; Humanities & History,Financial & Market Data; Market Research; Historical Archives,External platform,"Financial & Market Data, Market Research, Historical Archives",,../Images/Datasets/mergent-municipal-bond-database.png
