Title,Description,URL,Access note,Subjects,Resource type,Access model,Provider
Financial Times,"Digital news source covering global business, finance, economics, politics, and markets.",https://yale.idm.oclc.org/login?URL=https://library.yale.edu/eresources/access/access-financial-times,,Business & Economics; Government & Public Policy; News & Media,Data Platform,External platform,
Foundation Directory Online Professional,"Database of U.S. foundations, grantmakers, corporate giving programs, public charities, grants, and IRS filings.",https://yale.idm.oclc.org/login?URL=http://hdl.handle.net/10079/yuldb/yuldb515,,Social Sciences,Data Platform,External platform,
Frost and Sullivan,"Market research platform covering technology, healthcare, transportation, defense, chemicals, electronics, communications, and other industries.",https://member.frost.com/login,,Health & Medicine; Business & Economics,Data Platform,External platform,
Gale Business Insights,"Business information platform providing company profiles, SWOT analyses, industry coverage, market share data, histories, chronologies, and articles.",https://yale.idm.oclc.org/login?URL=http://infotrac.galegroup.com/itweb/29002?db=BIG,,Business & Economics,Data Platform,External platform,Gale
Gallup Analytics,Polling and survey data platform covering U.S. and global public opinion.,https://yale.idm.oclc.org/login?URL=https://library.yale.edu/eresources/access/access-gallup-analytics,,Social Sciences,Data Platform,External platform,
Gartner,"Information technology research platform providing reports, analysis, and trends on IT markets, vendors, and strategy.",http://business.yale.edu/gartner/go,,Business & Economics,Data Platform,External platform,
Global Development Finance,"World Bank dataset on financial flows, external debt, and financial indicators for developing countries.",http://data.worldbank.org/data-catalog/global-financial-development,,Business & Economics,Dataset,Open access,World Bank
GlobalData Medical and Pharmaceutical Intelligence Centers,Market research platform covering medical device and pharmaceutical industries.,https://library.yale.edu/eresources/access/access-globaldata,,Health & Medicine; Business & Economics,Data Platform,External platform,
GoinGlobal,"Career and employment information platform with country guides, job search resources, visa information, salary data, and workplace advice.",https://yale.idm.oclc.org/login?url=http://online.goinglobal.com/default.aspx,,Business & Economics; Social Sciences,Data Platform,External platform,
GuideStar Pro,"Nonprofit organization database with information on programs, finances, leadership, and IRS filings.",https://library.yale.edu/eresources/access/access-guidestar,"For assistance with downloading lists with more than 1000 results, please contact business.reference@yale.edu.",Business & Economics; Social Sciences,Data Platform,External platform,
Handbooks in Economics,"Full-text collection of scholarly handbooks in economics, finance, econometrics, and related fields.",https://www.sciencedirect.com/browse/journals-and-books?subject=economics-econometrics-and-finance,,Business & Economics; Humanities & History,Data Platform,External platform,Elsevier
Harvard Business Publishing eBooks Collection,"Ebook collection covering management, leadership, entrepreneurship, strategy, human resources, and related business topics.","https://yale.idm.oclc.org/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5164239&groupid=main&profile=ehost&defaultdb=e076mww",,Business & Economics,Data Platform,External platform,EBSCO
IBISWorld,"Industry research platform with reports on market size, trends, performance, risks, major companies, and forecasts.",https://library.yale.edu/eresources/access/access-ibisworld,"Due to licensing restrictions with IBISWorld, users are limited to fewer than 50 downloads per session. Exceeding this limit may result in a university-wide loss of access to this resource.",Business & Economics,Data Platform,External platform,
IEA Statistics Package,Energy statistics resource from the International Energy Agency.,https://guides.library.yale.edu/iea,,Energy & Environment; Government & Public Policy,Dataset,External platform,
ImpactAlpha,"News and analysis source covering impact investing, sustainable finance, social enterprise, and market-based approaches to social change.",https://library.yale.edu/eresources/access/access-impactalpha,Requires users to register for an individual account with a Yale email address.,Energy & Environment; Business & Economics; Social Sciences,Data Platform,External platform,
Indiastat,"Statistical database providing India-specific socioeconomic, industry, demographic, and government data.",https://library.yale.edu/eresources/access/access-indiastat,,Business & Economics; Government & Public Policy; Social Sciences,Dataset,External platform,
Inside Philanthropy,"News and information platform covering foundations, major donors, grantmaking, philanthropy jobs, and funding opportunities.",https://library.yale.edu/eresources/access/access-inside-philanthropy,Requires users to register for an individual account.,Social Sciences; News & Media,Data Platform,External platform,
International Financial Statistics - IMF,"IMF statistical database covering international and domestic finance, monetary indicators, exchange rates, prices, production, and national accounts.",http://data.imf.org/IFS,,Business & Economics; Government & Public Policy,Dataset,Open access,IMF
JSTOR,"Digital archive of scholarly journals, books, and primary sources across many disciplines.",http://hdl.handle.net/10079/yuldb/yuldb1517,,Business & Economics; Humanities & History,Data Platform,External platform,JSTOR
Kanopy,Streaming video platform offering educational films and documentaries across a range of subject areas.,https://search.library.yale.edu/catalog/12778063,,News & Media,Data Platform,External platform,
Leadership Connect,"Directory of leaders and organizations in business, government, and nonprofit sectors in the United States.",https://library.yale.edu/eresources/access/access-leadership-connect,Requires users to sign in with an @Yale.edu email address. Users will be directed to the Yale CAS sign-in page. Note: The export function is not available with our subscription.,Business & Economics; Government & Public Policy; Social Sciences,Data Platform,External platform,
LSEG,"Financial markets platform providing company financials, filings, estimates, transactions, market data, and analyst research.",https://guides.library.yale.edu/Workspace/,Requires users to register for an individual account.,Business & Economics,Data Platform,External platform,LSEG
LSEG Tick History,"Historical intraday market data source with time-and-sales, quotes, and market-depth data for futures.",https://guides.library.yale.edu/LSEG_Tick_History,email to request access: business.reference@yale.edu,Business & Economics; Humanities & History,Data Platform,External platform,LSEG
Making of the Modern World,Digital archive of economic and business literature published from 1450 through 1850.,http://hdl.handle.net/10079/yuldb/yuldb859,,Business & Economics; Government & Public Policy; Social Sciences,Data Platform,External platform,
"Market Research & American Business, 1935-1965",Digital archive of market research reports and consumer studies from mid-twentieth-century American business.,https://yale.idm.oclc.org/login?URL=http://www.consumerculture.amdigital.co.uk/,,Business & Economics; News & Media; Humanities & History,Data Platform,External platform,
MarketResearch.com Academic,"Market research platform providing reports on consumer, demographic, lifestyle, industrial, and product markets.",https://yale.idm.oclc.org/login?url=https://www.marketresearch.com/academic/,,Business & Economics; Social Sciences,Data Platform,External platform,
Media Radar 360,"Advertising intelligence platform covering advertising expenditures across television, radio, magazines, newspapers, and other media.",https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?url=https://edu.app.vivvix.com,,Business & Economics; News & Media,Dataset,External platform,
Mergent Archives,"Historical corporate document archive including corporate manuals, municipal manuals, and annual reports.",https://yale.idm.oclc.org/login?url=https://www.mergentarchives.com/search.php,,Business & Economics; Humanities & History,Data Platform,External platform,
Mergent Intellect,"Global business directory with public and private company data, executive contacts, and industry research from D&B Hoovers.",https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?URL=https://www.mergentintellect.com,,Business & Economics,Data Platform,External platform,
Mergent Municipal Bond Database,Dataset of municipal bond attributes with historical coverage dating back several decades.,http://search.library.yale.edu/catalog/14077868,,Business & Economics; Government & Public Policy; Humanities & History,Dataset,External platform,
Mintel GNPD,"Global product database tracking new consumer packaged goods across food, beverage, household, beauty, health, and pet sectors.",https://library.yale.edu/eresources/access/access-mintel?_ga=2.202669273.931541240.1636380257-883986010.1630510795,Requires users to create a profile using your @yale.edu email address. Find step-by-step instructions for accessing Mintel GNPD in Yale Business Answers Now.,Health & Medicine; Business & Economics,Data Platform,External platform,Mintel
Mintel Reports,"Consumer market research platform with reports on U.S. and global markets, consumer attitudes, segmentation, and purchasing behavior.",http://hdl.handle.net/10079/yuldb/yuldb902,,Business & Economics; News & Media,Data Platform,External platform,Mintel
Moody's CRE,"Commercial real estate database with property data, rent levels, vacancy rates, sales comparables, forecasts, and market trends.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUNlVINUhVVUZNMTJFRFgyNjdQM0lCMklNTiQlQCN0PWcu&route=shorturl,Requires users to request an individual account with a Yale email address.,Business & Economics; GIS & Spatial Data,Dataset,External platform,Moody's
Moody's Default & Recovery Database,"Credit risk database covering ratings, defaults, and recovery data for global sovereign and corporate debt securities.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUNlVINUhVVUZNMTJFRFgyNjdQM0lCMklNTiQlQCN0PWcu&route=shorturl,Requires users to request an individual account with a Yale email address.,Business & Economics,Dataset,External platform,Moody's
Morningstar Direct,"Investment database and analytics platform covering funds, indexes, portfolios, ownership, and performance data worldwide.",https://guides.library.yale.edu/MorningstarDirect,Available at Marx Library on a dedicated workstation.,Business & Economics,Dataset,Workstation access,
New York Times,"Digital news source providing current and archival reporting on politics, business, culture, science, and global affairs.",https://library.yale.edu/eresources/access/access-nytcom,,Business & Economics; Government & Public Policy; News & Media,Data Platform,External platform,
Nexis Uni,"Full-text news, business, legal, and company information database.",http://hdl.handle.net/10079/yuldb/yuldb2398,,Business & Economics; News & Media,Data Platform,External platform,
OECD iLibrary,"OECD platform providing books, reports, journals, and statistical data on economics, policy, development, education, environment, and society.",http://hdl.handle.net/10079/yuldb/yuldb975,,Energy & Environment; Business & Economics; Government & Public Policy,Data Platform,External platform,OECD
Orbis,"Global company database covering public and private firms, ownership structures, financials, and corporate relationships. Valuable for international business and organizational research.",https://yale.idm.oclc.org/login?url=https://orbis.bvdinfo.com/ip,Point in-time historical data available by request,Business & Economics,Data Platform,External platform,Moody's
Orbis Historical,Historical company dataset from Orbis providing point-in-time information for longitudinal business research.,https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUQ0lDR1NIMkwxUVRPUVNIWTZMV1FCVzc2QSQlQCN0PWcu,,Business & Economics; Humanities & History,Dataset,Hosted by Yale Library,Moody's
Orbis Intellectual Property,Patent and company intelligence platform linking global patent data to corporate information.,https://yale.idm.oclc.org/login?URL=https://orbisip-r1.bvdinfo.com/ip,,Business & Economics; GIS & Spatial Data,Data Platform,External platform,Moody's
Panjiva,"Global trade database with import and export records, suppliers, buyers, products, and shipment trends.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUNUxHUEEyOEI4WDNRRVhJMzI3SVA1M01QQyQlQCN0PWcu&route=shorturl,Requires users to request an individual account with a Yale email address.,Business & Economics,Dataset,External platform,
Passport,"Market research platform from Euromonitor with consumer, industry, country, and market data.",http://web.library.yale.edu/access-passport,,Business & Economics,Data Platform,External platform,Euromonitor
Pharmaprojects,"Pharmaceutical research and development database tracking drugs by company, disease, therapeutic class, and development phase.",http://hdl.handle.net/10079/yuldb/yuldb2273,Requires users to register for an individual account.,Health & Medicine; Business & Economics; GIS & Spatial Data,Dataset,External platform,
Pitchbook,"Private capital database covering companies, investors, funds, deals, exits, and service providers.",https://library.yale.edu/eresources/access/access-pitchbook,"Requires users to sign in with an @Yale.edu email address. Users will be directed to the Yale CAS sign-in page. Do not click ""Log in without SSO"" even if you had an individual account previously. Commercial use is prohibited. Users are limited to 10 downloads per day and 25 downloads per month. (1 download = 1 row of data on an Excel file). Accounts will automatically be reset annually on May 31.",Business & Economics,Data Platform,External platform,
PolicyMap,"Interactive mapping platform combining demographic, housing, health, economic, and policy data from public and proprietary sources.",https://www.policymap.com/newmaps/e/yale,,Health & Medicine; Business & Economics; Government & Public Policy,Data Platform,External platform,
Political Risk Yearbook,"Country risk publication providing political, financial, and economic risk assessments for international business and investment.",https://yale.idm.oclc.org/login?url=https://epub.prsgroup.com/customer/pry/,,Business & Economics; Government & Public Policy,Data Platform,External platform,
Politico Pro,"Policy intelligence platform covering legislative, regulatory, and political developments, including energy and environment news.",http://hdl.handle.net/10079/yuldb/yuldb2498,,Energy & Environment; Government & Public Policy; GIS & Spatial Data,Data Platform,External platform,
Preqin,"Alternative assets database covering private equity, private debt, real estate, infrastructure, natural resources, and hedge funds.",http://web.library.yale.edu/access-preqin,Private data from Preqin is available in WRDS.,Business & Economics; GIS & Spatial Data,Dataset,External platform,
PrivCo,"Business and financial database focused on major private companies, including venture-backed, family-owned, and private-equity-owned firms.",https://yale.idm.oclc.org/login?URL=http://hdl.handle.net/10079/yuldb/yuldb1801,Requires users to sign up for an account using a Yale email address.,Business & Economics,Dataset,External platform,
ProQuest Dissertations & Theses Global,Comprehensive database of dissertations and theses from universities worldwide.,https://yale.idm.oclc.org/login?URL=https://search.proquest.com/pqdtglobal/index?accountid=15172,,Humanities & History,Dataset,External platform,ProQuest
Proquest Historical Annual Reports,Digital archive of annual reports from major North American companies over more than a century.,http://hdl.handle.net/10079/yuldb/yuldb648,,Business & Economics; Humanities & History,Data Platform,External platform,ProQuest
Proquest Statistical Abstract of the U.S,"Statistical reference source summarizing U.S. demographic, economic, political, and social data.",https://yale.idm.oclc.org/login?url=https://statabs.proquest.com/sa,,Business & Economics; Government & Public Policy; Social Sciences,Dataset,External platform,ProQuest
Pyrra Discovery Platform,"Research platform for monitoring online narratives, emerging communities, and digital information environments.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUMjVEOEYzTUVPMFJYOTdSNlQwTk4zSFFBVyQlQCN0PWcu&route=shorturl,,Energy & Environment; News & Media,Data Platform,External platform,
RKMA Market Research Handbook Series,"Downloadable market research handbooks covering consumer behavior, media, travel, retail, food, healthcare, sports, and related sectors.",http://yale.idm.oclc.org/login?url=http://www.rkma.com/yale/archive/,,Health & Medicine; Business & Economics; News & Media,Data Platform,External platform,
Roper iPOLL,Public opinion database of U.S. national survey questions and responses dating back to 1935.,http://hdl.handle.net/10079/yuldb/yuldb2725,,Government & Public Policy; Social Sciences,Survey Data,External platform,
S&P Capital IQ Pro,"Financial intelligence platform providing company, industry, market, credit, energy, and real estate data.",https://web.library.yale.edu/access-sp-capital-iq-pro?_ga=2.137089200.1253860179.1681413501-14721893.1681413501,Requires users to register for an individual account. Current Capital IQ account holders can access the platform directly using the S&P Capital IQ Pro link in the upper right corner of the Captial IQ page.,Energy & Environment; Business & Economics; GIS & Spatial Data,Data Platform,External platform,S&P
S&P NetAdvantage,"Business research platform with company profiles, financials, industry surveys, stock reports, and screening tools.",https://yale.idm.oclc.org/login?url=http://na.capitaliq.com/ip/yale,,Business & Economics; Social Sciences,Data Platform,External platform,S&P
S&P RatingsDirect (Available through S&P Capital IQ),"Credit research platform providing S&P ratings, reports, and analysis for global bond issues.",https://web.library.yale.edu/access-capital-iq,"To access, login to Capital IQ and select the Ratings Direct search option. Requires new users to register for an account.",Business & Economics; Government & Public Policy,Data Platform,External platform,S&P
Sage Business Cases,Collection of business case studies from global publishers and universities.,https://sk.sagepub.com/cases,Sage Business Cases are licensed for all Yale affiliates and can be used for classroom teaching.,Health & Medicine; Business & Economics; Social Sciences,Data Platform,External platform,
Scopus,"Academic abstract and citation database covering peer-reviewed journals, conference proceedings, and books across scientific, medical, technical, and social science fields.",http://hdl.handle.net/10079/yuldb/yuldb1190,,Health & Medicine; Social Sciences; Humanities & History,Dataset,External platform,Elsevier
SDC Platinum,"Transaction database covering new issues, bonds, syndicated loans, mergers and acquisitions, governance, private equity, and infrastructure.",https://guides.library.yale.edu/Workspace/SDC,Available by request on LSEG Workpsace or WRDS.,Business & Economics,Dataset,Hosted by Yale Library,
SimplyAnalytics,"Web-based mapping and data platform with census, consumer, market, and local demographic data.",https://yale.idm.oclc.org/login?URL=http://hdl.handle.net/10079/yuldb/yuldb2326,,Business & Economics; Social Sciences; GIS & Spatial Data,Data Platform,External platform,
Social Explorer,Interactive mapping and data platform providing demographic and census data for the United States.,https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?URL=http://www.socialexplorer.com/,,Social Sciences; GIS & Spatial Data; Humanities & History,Data Platform,External platform,
Social Science Research Network (SSRN),"Repository of working papers, accepted papers, and abstracts across social science disciplines.",http://hdl.handle.net/10079/yuldb/yuldb1208,,Business & Economics; Social Sciences; News & Media,Data Platform,Open access,
Sports Business Research Network (SBRnet),"Sports market research platform with consumer, industry, participation, sponsorship, and expenditure data.",https://yale.idm.oclc.org/login?url=https://sportsmarketanalytics.com,,Business & Economics; News & Media,Data Platform,External platform,
STAT+,"News and analysis platform covering biotechnology, pharmaceuticals, clinical trials, health policy, and healthcare business.",https://library.yale.edu/eresources/access/access-stat-plus,Requires users to register for an individual account with a Yale email address.,Health & Medicine; Business & Economics; Government & Public Policy,Data Platform,External platform,
Statista,"Statistics portal aggregating data, charts, infographics, dossiers, and reports from thousands of sources.",https://www.statista.com/login/campus/,,Business & Economics,Data Platform,External platform,Statista
Sustainable Views,"Financial Times publication covering sustainable finance, ESG policy, regulation, and market trends.",https://search.library.yale.edu/catalog/17660885,Requires users to request an individual account with a Yale email address.,Energy & Environment; Business & Economics; Government & Public Policy,Data Platform,External platform,
The Block Pro,"Research and data platform covering digital assets, cryptocurrency markets, blockchain companies, and industry trends.",https://web.library.yale.edu/access-block-research?_ga=2.30752639.1512418643.1662507458-1442532518.1662507458,Requires users to register for an account with a valid Yale email address.,Business & Economics,Data Platform,External platform,
The Economist,"Current and archival magazine source covering world affairs, economics, business, politics, science, and culture.",https://yale.idm.oclc.org/login?URL=https://yale.idm.oclc.org/login?URL=https://web.library.yale.edu/economist,Requires users to register for an individual account with a Yale email address for access.,Business & Economics; Government & Public Policy; News & Media,Data Platform,External platform,
The Information,"Technology business news source with reporting on companies, startups, platforms, venture capital, and digital markets.",https://library.yale.edu/eresources/access/access-theinformation,Requires users to register for an individual account with a Yale email address. Please note: The Information Pro content is not included with academic or university subscriptions.,Business & Economics; News & Media,Data Platform,External platform,
UN Comtrade Premium,International trade database providing detailed commodity and partner-country statistics reported by national authorities.,https://library.yale.edu/eresources/access/access-un-comtrade,,Business & Economics,Dataset,Open access,United Nations
UNdata,United Nations statistical portal combining data from multiple UN databases.,http://data.un.org/Default.aspx,,Energy & Environment; Business & Economics; Social Sciences,Dataset,Open access,United Nations
Vault,"Career research platform with employer profiles, industry guides, rankings, interview advice, and job search resources.",https://yale.firsthand.co/,"Current students, faculty, and staff can log in to Vault with their NetID.",Business & Economics; Social Sciences,Data Platform,External platform,
VitalLaw - Blue Chip Publications,Economic forecasting resource providing Blue Chip consensus forecasts and archived indicators in Excel and PDF formats.,https://library.yale.edu/eresources/access/access-blue-chip-economic-indicators?app=yalesites,Requires users to register for an account with a Yale email address for access.,Business & Economics; Humanities & History,Data Platform,External platform,
